Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,75,32.21,21.5,Wood,100,0,0,100,0,0
Residential,North America,4646 to 9290,"50,001 to 100,000",1 to 6,75,42.47,28.3,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",15 to 25,75,49.88,33.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,75,51.45,34.3,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,75,75.26,50.2,Wood,100,0,0,100,0,0
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,75,83.78,55.9,Wood-Hybrid,67,0,33,62,0,38
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,70,58.3,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,9291 to 18580,"100,001 to 200,000",7 to 14,75,88.54,59.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,75,98.78,65.9,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,80,66.7,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,82,68.3,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,84,70.0,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,84.58,70.5,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,87.4,72.8,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,89.11,74.3,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,75,118.51,79.0,Wood,100,0,0,100,0,0
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,60,100,83.3,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,106,88.3,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,90,90.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,109,90.8,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,110,91.7,Wood,100,0,0,100,0,0
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,92,92.0,Wood,100,0,0,100,0,0
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,93,93.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,114,95.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,115.24,96.0,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,119,99.2,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,119,99.2,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,100,100.0,Wood,100,0,0,100,0,0
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,100,100.0,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,122,101.7,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,102,102.0,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,124,103.3,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,75,156.25,104.2,Wood,100,0,0,100,0,0
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,106,106.0,Wood,100,0,0,100,0,0
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,130,108.3,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,109,109.0,Wood,100,0,0,100,0,0
Commercial,North America,2324 to 4645,"25,001 to 50,000",More than 25,50,109,109.0,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,133,110.8,Wood,100,0,0,100,0,0
Residential,Asia-Pacific,Over 92903,Over 1 million,15 to 25,50,111,111.0,RC,95,5,0,0,15,85
Generic,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,112,112.0,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,136.97,114.1,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,138,115.0,Wood,100,0,0,100,0,0
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,75,172.53,115.0,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,231.73,115.9,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,232.97,116.5,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,233.13,116.6,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,117,117.0,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,141.59,118.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,118,118.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,237.61,118.8,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,119,119.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,239.49,119.7,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,123,123.0,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,149,124.2,Wood,100,0,0,100,0,0
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,149,124.2,Wood,100,0,0,100,0,0
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,100,248.9,124.5,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,60,150.23,125.2,Wood-Hybrid,67,0,33,62,0,38
Residential,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,126,126.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,North America,Over 92903,Over 1 million,More than 25,100,253.19,126.6,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,253.55,126.8,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,127,127.0,Wood,100,0,0,100,0,0
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,128,128.0,Wood,100,0,0,100,0,0
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,154.01,128.3,Wood,100,0,0,100,0,0
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,129,129.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,258.18,129.1,RC,95,5,0,0,15,85
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,156,130.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,262,131.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,263.09,131.5,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,264.85,132.4,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,265.63,132.8,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,133,133.0,Wood-Hybrid,67,0,33,62,0,38
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,266.54,133.3,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,134,134.0,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,270.89,135.4,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,271.33,135.7,RC,95,5,0,0,15,85
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,273.31,136.7,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,100,276.56,138.3,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,140,140.0,Wood,100,0,0,100,0,0
Commercial,North America,Over 92903,Over 1 million,More than 25,100,280.2,140.1,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,75,210.63,140.4,Wood,100,0,0,100,0,0
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,281.66,140.8,RC,95,5,0,0,15,85
