Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,75,21.5,2,3,4,8,1,0,94.0,1.0,94.0
Residential,North America,4646 to 9290,"50,001 to 100,000",1 to 6,75,28.3,2,3,4,3,7,0,4646.0,1.01,4692.46
Commercial,North America,9291 to 18580,"100,001 to 200,000",15 to 25,75,33.3,3,0,4,5,3,1,9291.0,15.0,139365.0
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,75,34.3,2,0,4,7,2,0,930.0,1.02,948.6
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,75,50.2,2,3,4,8,1,0,101.38,1.05,106.449
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,75,55.9,3,3,4,0,4,2,18581.0,7.0,130067.0
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,58.3,3,0,1,1,5,2,2324.0,7.01,16291.24
Residential,North America,9291 to 18580,"100,001 to 200,000",7 to 14,75,59.0,3,3,4,5,3,2,9420.69,7.01,66039.0369
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,75,65.9,2,0,4,3,7,0,4728.07,1.08,5106.3156
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,66.7,2,3,4,1,5,0,2335.17,1.08,2521.9836
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,68.3,2,3,4,1,5,0,2337.3,1.09,2547.6570000000006
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,70.0,2,3,4,1,5,0,2339.56,1.09,2550.1204000000002
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,70.5,2,3,4,1,5,0,2340.23,1.09,2550.8507000000004
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,72.8,2,3,4,1,5,0,2343.29,1.09,2554.1861000000004
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,74.3,2,3,4,8,1,0,107.57,1.1,118.327
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,75,79.0,2,0,4,5,3,0,9521.62,1.11,10568.998200000002
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,60,83.3,2,0,2,5,3,0,9543.32,1.11,10593.085200000001
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,88.3,2,3,4,8,1,0,111.17,1.12,124.51040000000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,90.0,3,0,4,0,4,2,19116.99,7.13,136304.1387
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,90.8,2,3,4,1,5,0,2367.24,1.13,2674.9811999999997
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,91.7,2,3,4,1,5,0,2368.43,1.13,2676.3258999999994
