Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Residential,North America,94 to 465,1 to 6,75,21.5,Wood
Residential,North America,4646 to 9290,1 to 6,75,28.3,Wood
Commercial,North America,9291 to 18580,15 to 25,75,33.3,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,75,34.3,Wood
Residential,North America,94 to 465,1 to 6,75,50.2,Wood
Residential,North America,18581 to 46451,7 to 14,75,55.9,Wood-Hybrid
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,58.3,Wood-Hybrid
Residential,North America,9291 to 18580,7 to 14,75,59.0,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,75,65.9,Wood
Residential,North America,2324 to 4645,1 to 6,60,66.7,Wood
Residential,North America,2324 to 4645,1 to 6,60,68.3,Wood
Residential,North America,2324 to 4645,1 to 6,60,70.0,Wood
Residential,North America,2324 to 4645,1 to 6,60,70.5,Wood
Residential,North America,2324 to 4645,1 to 6,60,72.8,Wood
Residential,North America,94 to 465,1 to 6,60,74.3,Wood
Commercial,North America,9291 to 18580,1 to 6,75,79.0,Wood
Commercial,Europe,9291 to 18580,1 to 6,60,83.3,Wood
Residential,North America,94 to 465,1 to 6,60,88.3,Wood
Commercial,North America,18581 to 46451,7 to 14,50,90.0,Wood-Hybrid
Residential,North America,2324 to 4645,1 to 6,60,90.8,Wood
Residential,North America,2324 to 4645,1 to 6,60,91.7,Wood
Commercial,North America,466 to 929,1 to 6,50,92.0,Wood
Commercial,North America,9291 to 18580,1 to 6,50,93.0,Wood
Residential,North America,94 to 465,1 to 6,60,95.0,Wood
Residential,North America,94 to 465,1 to 6,60,96.0,Wood-Hybrid
Residential,North America,94 to 465,1 to 6,60,99.2,Wood
Residential,North America,94 to 465,1 to 6,60,99.2,Wood
Commercial,North America,18581 to 46451,1 to 6,50,100.0,Wood
Commercial,North America,46452 to 92903,1 to 6,50,100.0,Wood
Residential,North America,2324 to 4645,1 to 6,60,101.7,Wood
Commercial,North America,18581 to 46451,1 to 6,50,102.0,Wood
Residential,North America,2324 to 4645,1 to 6,60,103.3,Wood
Commercial,North America,4646 to 9290,1 to 6,75,104.2,Wood
Commercial,North America,2324 to 4645,1 to 6,50,106.0,Wood
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,108.3,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,109.0,Wood
Commercial,North America,2324 to 4645,More than 25,50,109.0,RC
Residential,North America,94 to 465,1 to 6,60,110.8,Wood
Residential,Asia-Pacific,Over 92903,15 to 25,50,111.0,RC
