0,1,2,3,4,5,6
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,40.0,2521.63
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,1332.55
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40.0,1031.76
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,40.0,938.69
Commercial,Asia-Pacific,Over 92903,Over 1 million,15 to 25,40.0,937.59
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,923.3
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,917.93
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,882.65
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,844.49
Commercial,North America,Over 92903,Over 1 million,More than 25,40.0,772.05
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,748.03
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,740.7
Commercial,North America,Over 92903,Over 1 million,15 to 25,40.0,733.88
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40.0,731.63
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,730.52
Commercial,Asia-Pacific,Over 92903,Over 1 million,1 to 6,40.0,724.64
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40.0,722.29
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,717.52
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,704.78
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40.0,687.05
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40.0,685.14
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40.0,682.25
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40.0,674.22
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,40.0,673.25
Commercial,Europe,Over 92903,Over 1 million,More than 25,40.0,645.19
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40.0,643.89
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,636.62
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,620.59
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,619.74
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,603.72
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40.0,595.91
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,590.35
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,583.2
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40.0,582.83
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40.0,581.32
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40.0,579.16
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,578.9
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,575.17
Commercial,North America,Over 92903,Over 1 million,15 to 25,40.0,574.36
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,572.07
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,563.73
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,40.0,561.49
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40.0,553.79
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",More than 25,40.0,542.2
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,533.9
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,533.58
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,40.0,529.3
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,525.5
Commercial,Middle East,Over 92903,Over 1 million,1 to 6,40.0,522.68
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,521.6
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,40.0,517.89
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40.0,517.12
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,514.75
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40.0,511.46
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,511.39
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40.0,505.26
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40.0,503.81
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40.0,501.89
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,493.88
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,40.0,492.23
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40.0,491.75
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,491.74
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,490.19
Commercial,Asia-Pacific,Over 92903,Over 1 million,15 to 25,40.0,490.11
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,485.95
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40.0,485.79
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,478.97
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40.0,473.77
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,473.32
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,473.26
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40.0,472.28
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40.0,471.3
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40.0,470.11
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40.0,469.77
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40.0,467.69
Commercial,Asia-Pacific,930 to 2323,"10,001 to 25,000",7 to 14,40.0,466.84
Residential,North America,Over 92903,Over 1 million,More than 25,40.0,465.66
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,465.02
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40.0,464.89
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40.0,464.32
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,462.89
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40.0,457.53
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40.0,455.78
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40.0,451.28
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,446.21
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,440.55
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,439.96
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,439.41
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,436.33
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,436.12
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40.0,435.64
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,40.0,434.15
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40.0,432.01
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,430.91
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40.0,425.53
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,423.37
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,422.82
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40.0,418.31
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,416.98
Commercial,North America,Over 92903,Over 1 million,More than 25,40.0,416.63
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40.0,415.61
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,415.26
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40.0,413.97
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,40.0,404.68
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40.0,403.27
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,40.0,401.06
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40.0,398.34
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,40.0,395.21
